Date,Open,High,Low,Close,Adj Close,Volume
2022-11-17,173.000000,174.990005,172.979996,174.860001,171.206177,4464100
2022-11-18,175.000000,176.639999,174.619995,176.199997,172.518158,6555700
2022-11-21,175.889999,176.550003,174.830002,175.970001,173.405060,5706600
2022-11-22,176.399994,177.190002,176.330002,176.820007,174.242661,4707900
2022-11-23,176.440002,177.399994,176.009995,177.009995,174.429886,5389200
2022-11-25,177.380005,178.119995,176.860001,177.240005,174.656540,3058600
2022-11-28,176.750000,177.770004,176.559998,177.330002,174.745224,6183100
2022-11-29,177.009995,177.259995,174.660004,176.089996,173.523300,6700500
2022-11-30,176.369995,178.009995,174.779999,178.000000,175.405472,13288000
2022-12-01,179.000000,179.960007,177.770004,178.740005,176.134674,6282600
2022-12-02,177.500000,178.960007,176.960007,178.880005,176.272644,5823900
2022-12-05,178.360001,179.360001,178.000000,178.779999,176.174088,5120600
2022-12-06,179.919998,180.000000,175.929993,176.100006,173.533157,7943500
2022-12-07,176.570007,177.880005,176.229996,177.169998,174.587555,5702600
2022-12-08,176.820007,177.470001,176.339996,177.199997,174.617111,4798500
2022-12-09,177.119995,177.889999,175.660004,175.740005,173.178406,4561000
2022-12-12,175.949997,177.869995,175.600006,177.839996,175.247787,4882400
2022-12-13,179.100006,180.199997,178.309998,179.210007,176.597824,9177500
2022-12-14,178.580002,181.039993,178.580002,179.759995,177.139801,9533600
2022-12-15,179.199997,179.839996,176.399994,177.490005,174.902893,7602400
2022-12-16,177.000000,177.000000,174.860001,175.669998,173.109421,18841800
2022-12-19,175.350006,176.169998,174.070007,175.479996,172.922180,5736000
2022-12-20,176.000000,176.440002,175.169998,175.669998,173.109421,6174700
2022-12-21,176.270004,178.179993,175.649994,177.679993,175.090103,5472000
2022-12-22,176.770004,177.509995,175.339996,177.029999,174.449600,5709100
2022-12-23,176.669998,177.520004,175.809998,177.479996,174.893036,3683400
2022-12-27,178.110001,178.350006,176.990005,177.429993,174.843750,3067300
2022-12-28,177.759995,178.449997,176.649994,176.660004,174.084991,2645400
2022-12-29,177.550003,178.300003,177.070007,177.559998,174.971878,2828800
2022-12-30,177.490005,177.770004,175.399994,176.649994,174.075119,4216600
2023-01-03,176.160004,178.380005,176.009995,178.190002,175.592697,6344900
2023-01-04,178.889999,180.190002,178.479996,180.130005,177.504425,9788800
2023-01-05,179.020004,179.990005,178.410004,178.800003,176.193802,6255300
2023-01-06,180.130005,180.929993,179.389999,180.250000,177.622665,5706000
2023-01-09,179.300003,179.759995,175.179993,175.580002,173.020737,7925300
2023-01-10,175.699997,176.139999,174.320007,175.160004,172.606857,5047500
2023-01-11,175.570007,175.720001,172.110001,174.880005,172.330948,6494800
2023-01-12,174.259995,174.710007,172.800003,174.000000,171.463776,4269400
2023-01-13,173.190002,174.009995,172.380005,173.429993,170.902054,6088000
2023-01-17,174.000000,174.580002,172.089996,172.360001,169.847672,6053300
2023-01-18,171.649994,172.000000,169.710007,169.759995,167.285568,7047800
2023-01-19,169.029999,171.279999,168.710007,169.529999,167.058929,6939500
2023-01-20,170.100006,170.110001,167.479996,168.740005,166.280441,8620600
2023-01-23,169.100006,169.630005,167.949997,168.309998,165.856705,8425400
2023-01-24,169.020004,170.990005,166.009995,168.309998,165.856705,10541800
2023-01-25,167.169998,169.509995,167.080002,169.509995,167.039200,7099800
2023-01-26,169.550003,169.910004,168.649994,168.889999,166.428238,6946100
2023-01-27,168.539993,168.869995,167.770004,168.229996,165.777863,6058100
2023-01-30,167.929993,168.539993,161.080002,162.000000,159.638687,23259100
2023-01-31,161.699997,163.429993,161.050003,163.419998,161.037979,11612500
2023-02-01,162.990005,165.979996,162.399994,164.919998,162.516113,9865300
2023-02-02,163.000000,166.220001,162.820007,165.539993,163.127075,10099000
2023-02-03,166.029999,166.339996,163.889999,164.610001,162.210632,6868500
2023-02-06,164.550003,164.850006,163.100006,163.360001,160.978851,7021000
2023-02-07,161.600006,163.880005,161.419998,163.399994,161.018265,7310800
2023-02-08,163.300003,164.559998,162.899994,163.610001,161.225204,6054700
2023-02-09,163.630005,164.800003,161.070007,161.399994,159.047409,7949500
2023-02-10,161.770004,162.789993,161.350006,162.149994,159.786484,7028000
2023-02-13,161.330002,162.820007,161.149994,162.750000,160.377747,6414700
2023-02-14,162.740005,162.970001,161.759995,162.039993,159.678085,6316000
2023-02-15,161.949997,161.979996,159.289993,159.369995,157.046997,12621800
2023-02-16,159.070007,159.649994,157.919998,158.240005,155.933487,11177000
2023-02-17,157.020004,161.110001,156.619995,160.389999,159.188919,12401900
2023-02-21,159.649994,160.350006,157.889999,158.000000,156.816818,9423900
2023-02-22,158.500000,158.850006,157.369995,157.779999,156.598465,9820200
2023-02-23,157.710007,158.589996,156.669998,157.729996,156.548843,9385100
2023-02-24,156.649994,156.850006,155.210007,155.970001,154.802017,8689700
2023-02-27,156.449997,156.899994,155.080002,155.630005,154.464569,7267100
2023-02-28,154.979996,155.270004,153.039993,153.259995,152.112305,9062300
2023-03-01,153.009995,153.240005,151.910004,152.570007,151.427490,6767000
2023-03-02,151.750000,152.759995,151.229996,152.449997,151.308380,8762500
2023-03-03,153.369995,154.119995,152.839996,154.020004,152.866623,5747200
2023-03-06,154.660004,155.729996,154.570007,155.559998,154.395096,8148200
2023-03-07,156.089996,156.250000,153.350006,154.089996,152.936096,7457700
2023-03-08,153.979996,154.199997,152.479996,152.960007,151.814560,6230500
2023-03-09,153.460007,153.600006,150.710007,151.240005,150.107452,7439400
2023-03-10,151.860001,153.490005,151.100006,151.610001,150.474670,8504300
2023-03-13,152.089996,155.910004,151.570007,153.059998,151.913803,10799600
2023-03-14,153.279999,154.029999,151.899994,153.919998,152.767365,8421200
2023-03-15,152.839996,154.889999,152.529999,154.350006,153.194153,7757700
2023-03-16,153.449997,154.369995,152.600006,154.029999,152.876541,7605500
2023-03-17,154.479996,154.949997,152.300003,152.380005,151.238907,20540700
2023-03-20,152.470001,154.070007,152.380005,153.889999,152.737595,7129000
2023-03-21,154.000000,154.130005,152.169998,153.889999,152.737595,8376800
2023-03-22,153.850006,154.059998,151.029999,151.050003,149.918869,7943500
2023-03-23,151.179993,151.690002,150.110001,151.130005,149.998276,9051500
2023-03-24,151.479996,152.759995,150.830002,152.649994,151.506882,5696200
2023-03-27,154.199997,154.539993,153.110001,153.300003,152.152023,6772300
2023-03-28,152.389999,153.449997,151.729996,151.820007,150.683105,6115300
2023-03-29,152.240005,153.380005,152.070007,153.309998,152.161942,6012000
2023-03-30,153.580002,153.800003,152.809998,153.429993,152.281036,4555700
2023-03-31,153.789993,155.190002,153.240005,155.000000,153.839279,9890000
2023-04-03,154.949997,157.009995,153.940002,156.850006,155.675430,6841900
2023-04-04,156.970001,158.970001,156.589996,158.490005,157.303162,8314500
2023-04-05,164.369995,165.660004,162.759995,165.610001,164.369827,16704200
2023-04-06,165.990005,167.229996,164.800003,165.149994,163.913269,9615400
2023-04-10,164.630005,164.839996,163.639999,164.320007,163.089493,5354000
2023-04-11,164.419998,165.279999,164.039993,164.270004,163.039871,5903800
2023-04-12,163.940002,164.839996,163.100006,163.919998,162.692490,5764100
2023-04-13,164.179993,166.330002,163.809998,166.110001,164.866089,5640600
2023-04-14,165.970001,166.119995,164.059998,165.839996,164.598099,7225100
2023-04-17,165.740005,166.240005,164.940002,165.669998,164.429382,8046400
2023-04-18,164.250000,164.690002,159.649994,161.009995,159.804276,14571500
2023-04-19,161.990005,162.679993,161.169998,162.529999,161.312897,6752000
2023-04-20,162.429993,163.820007,160.960007,163.580002,162.355042,9498800
2023-04-21,164.440002,164.970001,161.970001,162.690002,161.471695,7014200
2023-04-24,162.690002,163.809998,161.869995,163.679993,162.454269,5278900
2023-04-25,164.309998,165.350006,164.160004,165.179993,163.943039,6263100
2023-04-26,164.089996,164.389999,162.240005,162.619995,161.402222,5518200
2023-04-27,162.899994,163.410004,162.130005,163.000000,161.779373,5739700
2023-04-28,162.809998,163.759995,162.559998,163.699997,162.474136,6023400
2023-05-01,163.600006,164.300003,162.240005,163.600006,162.374893,4893400
2023-05-02,164.339996,165.479996,163.559998,165.029999,163.794174,7541700
2023-05-03,165.550003,166.179993,162.509995,162.869995,161.650345,5937200
2023-05-04,162.679993,162.899994,161.250000,162.130005,160.915894,5128000
2023-05-05,162.839996,163.130005,161.690002,162.679993,161.461761,5193700
2023-05-08,161.990005,162.570007,161.339996,162.309998,161.094543,4994900
2023-05-09,161.750000,162.130005,160.789993,161.050003,159.843979,5520500
2023-05-10,161.199997,161.970001,160.059998,161.649994,160.439484,6756600
2023-05-11,161.830002,162.190002,159.389999,160.990005,159.784439,5867600
2023-05-12,161.360001,161.559998,160.009995,160.779999,159.576004,3904200
2023-05-15,160.800003,161.029999,158.940002,159.550003,158.355209,5104500
2023-05-16,159.059998,160.250000,158.529999,159.339996,158.146774,5599200
2023-05-17,159.789993,160.059998,157.770004,158.990005,157.799408,6840700
2023-05-18,158.660004,158.929993,157.559998,158.479996,157.293213,5173000
2023-05-19,158.589996,159.929993,158.139999,158.910004,157.720001,6524000
2023-05-22,158.000000,159.139999,156.779999,156.869995,156.869995,5675900
2023-05-23,157.100006,158.270004,156.369995,156.809998,156.809998,5793000
2023-05-24,157.080002,157.139999,155.919998,156.660004,156.660004,5015100
2023-05-25,156.050003,156.289993,153.720001,154.410004,154.410004,6886100
2023-05-26,154.690002,155.279999,154.199997,154.350006,154.350006,6845400
2023-05-30,153.970001,155.380005,153.320007,154.369995,154.369995,5593100
2023-05-31,154.699997,155.690002,153.850006,155.059998,155.059998,11324600
2023-06-01,154.539993,155.039993,153.149994,154.539993,154.539993,7901300
2023-06-02,154.720001,157.309998,154.089996,156.970001,156.970001,7657200
2023-06-05,156.750000,158.639999,156.750000,158.320007,158.320007,6430500
2023-06-06,159.580002,159.610001,157.399994,158.179993,158.179993,5073600
2023-06-07,158.100006,158.800003,157.440002,158.520004,158.520004,6504300
2023-06-08,158.500000,160.419998,157.820007,160.259995,160.259995,5818400
2023-06-09,160.419998,160.729996,159.470001,160.009995,160.009995,6264400
2023-06-12,160.000000,160.250000,158.729996,159.899994,159.899994,6510600
2023-06-13,159.729996,160.839996,159.149994,160.740005,160.740005,6066800
2023-06-14,161.600006,162.080002,160.979996,161.559998,161.559998,6699100
2023-06-15,162.050003,163.910004,161.429993,163.729996,163.729996,7138300
2023-06-16,164.479996,164.990005,163.869995,164.229996,164.229996,13425100
2023-06-20,164.259995,165.309998,163.809998,164.130005,164.130005,7995800
2023-06-21,163.580002,164.919998,162.690002,163.880005,163.880005,7177500
2023-06-22,163.899994,165.720001,163.789993,165.619995,165.619995,5485900
2023-06-23,166.110001,166.270004,165.029999,165.479996,165.479996,9450700
2023-06-26,164.979996,164.979996,161.330002,163.630005,163.630005,6978800
2023-06-27,163.679993,163.880005,162.440002,163.289993,163.289993,4927500
2023-06-28,163.199997,163.199997,161.910004,162.960007,162.960007,6780400
2023-06-29,162.639999,164.320007,162.229996,164.100006,164.100006,4547500
2023-06-30,164.860001,165.940002,164.350006,165.520004,165.520004,7580000
2023-07-03,164.339996,164.389999,162.960007,163.350006,163.350006,4033700
2023-07-05,162.990005,163.919998,162.729996,162.809998,162.809998,7224600
2023-07-06,162.250000,162.369995,161.000000,161.600006,161.600006,6332500
2023-07-07,160.470001,161.039993,159.199997,159.250000,159.250000,7021700
2023-07-10,159.429993,160.300003,159.000000,159.509995,159.509995,5739200
2023-07-11,159.130005,160.300003,157.600006,158.630005,158.630005,6607000
2023-07-12,158.940002,158.940002,157.880005,158.080002,158.080002,6940400
2023-07-13,158.000000,159.130005,157.410004,158.809998,158.809998,6401700
